Run,Sample,patient,x,y,AS_cluster,type
SRR7667435,PT084_P121_G12_S372,PT084,14.313562,12.818913,2,Tumor
SRR7666527,PT089_P7_G02_S74,PT089,5.3908186,18.439398,2,Tumor
SRR7666561,PT089_P9_B12_S120,PT089,5.1446047,16.498676,2,Tumor
SRR7667385,PT039_P121_C09_S321,PT039,-1.1972132,-2.519343,6,Tumor
SRR7667226,PT084_P8_E08_S248,PT084,9.31907,11.976696,2,Tumor
SRR7667301,PT126_P3_D04_S40,PT126,-1.2293218,-8.746299,6,Tumor
SRR7667419,PT084_P121_F08_S356,PT084,11.600472,15.628505,2,Tumor
SRR7666553,PT089_P9_B04_S112,PT089,3.854968,22.168179,2,Tumor
SRR7666541,PT089_P9_A04_S100,PT089,4.6540236,20.650064,2,Tumor
SRR7667420,PT084_P121_F09_S357,PT084,-7.2974477,-8.85601,3,Tumor
SRR7666734,PT039_P1_C06,PT039,-14.8303385,9.702437,3,Tumor
SRR7666481,PT089_P7_C02_S26,PT089,5.802956,14.178564,2,Tumor
SRR7666547,PT089_P9_A10_S106,PT089,5.6085534,19.354252,2,Tumor
SRR7666630,PT089_P9_H11_S191,PT089,5.4975886,15.942057,2,Tumor
SRR7666459,PT089_P7_A04_S4,PT089,9.360493,23.28728,2,Tumor
SRR7666812,PT058_P1_E01,PT058,12.5758705,16.623554,2,Tumor
SRR7666617,PT089_P9_G10_S178,PT089,6.8388276,18.38678,2,Tumor
SRR7666575,PT089_P9_D02_S134,PT089,4.828237,20.894772,2,Tumor
SRR7667237,PT084_P8_F07_S259,PT084,10.087706,15.813996,2,Tumor
SRR7667444,PT084_P121_H10_S382,PT084,-2.0286834,-7.608328,6,Tumor
SRR7666583,PT089_P9_D10_S142,PT089,6.8910446,19.260157,2,Tumor
SRR7667251,PT084_P8_G11_S275,PT084,8.574581,14.662417,2,Tumor
SRR7666495,PT089_P7_D05_S41,PT089,5.306402,22.924599,2,Tumor
SRR7667312,PT126_P3_E04_S52,PT126,-1.8690292,-6.877816,6,Tumor
SRR7666628,PT089_P9_H09_S189,PT089,5.2588563,19.217672,2,Tumor
SRR7666805,PT058_P1_D04,PT058,-8.517352,5.0891433,3,Tumor
SRR7666509,PT089_P7_E07_S55,PT089,-7.2269683,0.61932355,6,Tumor
SRR7667198,PT084_P8_C03_S219,PT084,7.697278,18.008728,2,Tumor
SRR7667321,PT126_P3_F04_S64,PT126,-2.5959082,-8.212607,6,Tumor
SRR7667339,PT126_P3_G10_S82,PT126,-8.370711,-2.819423,6,Tumor
SRR7667200,PT084_P8_C05_S221,PT084,9.275066,12.245108,2,Tumor
SRR7667363,PT039_P121_A10_S298,PT039,-6.2931414,12.022365,3,Tumor
SRR7666478,PT089_P7_B11_S23,PT089,8.141999,22.34178,2,Tumor
SRR7667269,PT126_P3_A05_S5,PT126,-8.077858,-1.287339,6,Tumor
SRR7667442,PT084_P121_H08_S380,PT084,-7.8796062,-1.466109,6,Tumor
SRR7667333,PT126_P3_G04_S76,PT126,-8.883573,-1.8256403,6,Tumor
SRR7666467,PT089_P7_A12_S12,PT089,3.1025922,21.387428,2,Tumor
SRR7666524,PT089_P7_F11_S71,PT089,3.1409352,20.993431,2,Tumor
SRR7667275,PT126_P3_A11_S11,PT126,-8.040446,-3.2588868,6,Tumor
SRR7667153,PT084_P11_G11_S371,PT084,-8.351784,2.7752168,3,Tumor
SRR7667207,PT084_P8_C12_S228,PT084,11.959586,12.18797,2,Tumor
SRR7666599,PT089_P9_F02_S158,PT089,6.381998,15.048554,2,Tumor
SRR7667318,PT126_P3_F01_S61,PT126,-7.125829,-3.0555818,6,Tumor
SRR7667411,PT084_P121_E12_S348,PT084,-7.6216283,1.9108894,6,Tumor
SRR7667496,PT039_P10_E04_S244,PT039,-14.7435465,9.738657,3,Tumor
SRR7667319,PT126_P3_F02_S62,PT126,-6.5385613,-2.4140012,6,Tumor
SRR7666494,PT089_P7_D03_S39,PT089,8.215893,23.047611,2,Tumor
SRR7667291,PT126_P3_C05_S29,PT126,-7.2396207,-4.108492,6,Tumor
SRR7666517,PT089_P7_F04_S64,PT089,9.171324,22.258633,2,Tumor
SRR7667434,PT084_P121_G11_S371,PT084,1.4996787,-3.0513608,6,Tumor
SRR7666839,PT058_P1_G08,PT058,12.884534,17.113466,2,Tumor
SRR7667249,PT084_P8_G09_S273,PT084,8.663477,11.956647,2,Tumor
SRR7667178,PT084_P8_A05_S197,PT084,12.497188,13.105607,2,Tumor
SRR7667179,PT084_P8_A06_S198,PT084,12.664952,13.498272,2,Tumor
SRR7667247,PT084_P8_G06_S270,PT084,12.963118,13.648451,2,Tumor
SRR7667320,PT126_P3_F03_S63,PT126,-2.0931768,-9.271357,6,Tumor
SRR7666566,PT089_P9_C05_S125,PT089,4.738337,16.582983,2,Tumor
SRR7666558,PT089_P9_B09_S117,PT089,4.4054594,17.96601,2,Tumor
SRR7667429,PT084_P121_G06_S366,PT084,11.327634,16.372547,2,Tumor
SRR7666616,PT089_P9_G09_S177,PT089,5.7747726,18.145342,2,Tumor
SRR7667212,PT084_P8_D05_S233,PT084,8.927689,14.403622,2,Tumor
SRR7667230,PT084_P8_E12_S252,PT084,8.263519,16.520782,2,Tumor
SRR7667190,PT084_P8_B06_S210,PT084,8.486026,15.956697,2,Tumor
SRR7667290,PT126_P3_C04_S28,PT126,-6.929829,-3.5937579,6,Tumor
SRR7667232,PT084_P8_F02_S254,PT084,6.978206,11.54057,2,Tumor
SRR7666523,PT089_P7_F10_S70,PT089,6.056403,22.332483,2,Tumor
SRR7666797,PT058_P1_C07,PT058,-6.419849,2.7858436,6,Tumor
SRR7667418,PT084_P121_F07_S355,PT084,14.864679,13.048619,2,Tumor
SRR7666625,PT089_P9_H06_S186,PT089,5.38875,20.220844,2,Tumor
SRR7666671,PT039_P11_E04_S52,PT039,-2.9624944,3.8236427,3,Tumor
SRR7666538,PT089_P9_A01_S97,PT089,3.7257667,17.330706,2,Tumor
SRR7666589,PT089_P9_E04_S148,PT089,-0.36884874,8.13675,2,Tumor
SRR7666464,PT089_P7_A09_S9,PT089,5.1128983,23.464613,2,Tumor
SRR7667353,PT126_P3_H12_S96,PT126,-6.8125687,-1.6018797,6,Tumor
SRR7666596,PT089_P9_E11_S155,PT089,6.41255,18.365799,2,Tumor
SRR7667431,PT084_P121_G08_S368,PT084,0.124292165,-1.9774976,6,Tumor
SRR7666601,PT089_P9_F04_S160,PT089,6.132874,12.412132,2,Tumor
SRR7666829,PT058_P1_F09,PT058,12.962599,14.732794,2,Tumor
SRR7667285,PT126_P3_B11_S23,PT126,1.1140879,-6.102651,6,Tumor
SRR7667121,PT084_P11_E03_S339,PT084,-8.753746,3.1291075,3,Tumor
SRR7666588,PT089_P9_E03_S147,PT089,7.275956,21.139048,2,Tumor
SRR7666580,PT089_P9_D07_S139,PT089,3.7871962,19.916628,2,Tumor
SRR7666570,PT089_P9_C09_S129,PT089,5.77508,17.332174,2,Tumor
SRR7667263,PT084_P8_H11_S287,PT084,9.319384,13.470571,2,Tumor
SRR7667214,PT084_P8_D07_S235,PT084,12.179097,12.446361,2,Tumor
SRR7667417,PT084_P121_F06_S354,PT084,-8.612149,-2.1334412,6,Tumor
SRR7666622,PT089_P9_H03_S183,PT089,6.975647,14.778339,2,Tumor
SRR7666554,PT089_P9_B05_S113,PT089,3.412289,18.899406,2,Tumor
SRR7666612,PT089_P9_G05_S173,PT089,3.883881,18.411375,2,Tumor
SRR7667293,PT126_P3_C07_S31,PT126,0.75189126,-6.8539467,6,Tumor
SRR7666613,PT089_P9_G06_S174,PT089,7.418105,21.512848,2,Tumor
SRR7667246,PT084_P8_G05_S269,PT084,10.696466,12.497572,2,Tumor
SRR7666709,PT039_P1_A05,PT039,-6.5793395,5.04178,3,Tumor
SRR7667227,PT084_P8_E09_S249,PT084,11.167468,14.852009,2,Tumor
SRR7667424,PT084_P121_G01_S361,PT084,3.6197567,-10.833313,1,Tumor
SRR7667253,PT084_P8_H01_S277,PT084,8.237525,13.628133,2,Tumor
SRR7666567,PT089_P9_C06_S126,PT089,4.691896,19.136892,2,Tumor
SRR7666564,PT089_P9_C03_S123,PT089,6.2771225,19.895992,2,Tumor
SRR7666528,PT089_P7_G03_S75,PT089,7.4846535,23.81168,2,Tumor
SRR7666526,PT089_P7_G01_S73,PT089,9.388089,22.458963,2,Tumor
SRR7666555,PT089_P9_B06_S114,PT089,7.428345,20.183216,2,Tumor
SRR7666507,PT089_P7_E05_S53,PT089,8.199562,24.242012,2,Tumor
SRR7667308,PT126_P3_D12_S48,PT126,-0.5008086,-4.809648,6,Tumor
SRR7667258,PT084_P8_H06_S282,PT084,10.423728,16.711926,2,Tumor
SRR7666849,PT058_P1_H08,PT058,12.909846,16.00237,2,Tumor
SRR7667208,PT084_P8_D01_S229,PT084,9.573642,16.177181,2,Tumor
SRR7666463,PT089_P7_A08_S8,PT089,9.495836,24.46189,2,Tumor
SRR7666516,PT089_P7_F03_S63,PT089,8.824297,24.233133,2,Tumor
SRR7666462,PT089_P7_A07_S7,PT089,8.096467,24.833427,2,Tumor
SRR7667286,PT126_P3_B12_S24,PT126,-6.13837,-3.9598687,6,Tumor
SRR7667416,PT084_P121_F05_S353,PT084,-7.647153,-2.3457532,6,Tumor
SRR7667183,PT084_P8_A11_S203,PT084,11.396357,14.243884,2,Tumor
SRR7666591,PT089_P9_E06_S150,PT089,4.808372,17.385592,2,Tumor
SRR7667189,PT084_P8_B05_S209,PT084,6.732024,12.929572,2,Tumor
SRR7667530,PT039_P10_H07_S283,PT039,10.415914,-2.6916533,1,Tumor
SRR7667203,PT084_P8_C08_S224,PT084,9.31914,15.001509,2,Tumor
SRR7667199,PT084_P8_C04_S220,PT084,8.122176,15.007552,2,Tumor
SRR7666563,PT089_P9_C02_S122,PT089,6.135741,21.261099,2,Tumor
SRR7667386,PT039_P121_C10_S322,PT039,5.354745,14.226201,2,Tumor
SRR7667182,PT084_P8_A10_S202,PT084,8.841372,15.145989,2,Tumor
SRR7666497,PT089_P7_D07_S43,PT089,-10.640337,-2.573692,6,Tumor
SRR7667205,PT084_P8_C10_S226,PT084,-8.096048,4.552949,3,Tumor
SRR7667393,PT039_P121_D05_S329,PT039,-4.391908,-5.602313,6,Tumor
SRR7666606,PT089_P9_F09_S165,PT089,6.6775885,19.08953,2,Tumor
