Run,Sample,patient,x,y,AS_cluster,type
SRR7667056,PT081_P5_F11_S167,PT081,-13.593498,-9.43979,4,Tumor
SRR7667047,PT081_P5_F01_S157,PT081,-15.072269,-17.423662,4,Tumor
SRR7667330,PT126_P3_G01_S73,PT126,-10.382677,-0.1105807,6,Tumor
SRR7667296,PT126_P3_C10_S34,PT126,1.005293,-6.3174877,6,Tumor
SRR7666943,PT081_P3_B02_S206,PT081,-16.652447,-13.388097,4,Tumor
SRR7667004,PT081_P5_A10_S106,PT081,-16.16193,-15.882474,4,Tumor
SRR7666907,PT081_P1_F02,PT081,-17.243368,-7.346503,4,Tumor
SRR7667446,PT084_P121_H12_S384,PT084,-2.8101568,-6.9337816,6,Tumor
SRR7667031,PT081_P5_D03_S135,PT081,-15.539516,-11.972321,4,Tumor
SRR7667026,PT081_P5_C09_S129,PT081,-16.488802,-17.965034,4,Tumor
SRR7666861,PT081_P1_A12,PT081,-17.995811,-6.529564,4,Tumor
SRR7667168,PT084_P1_D11,PT084,-10.311845,-9.218387,4,Tumor
SRR7667402,PT039_P121_E03_S339,PT039,9.224293,-4.7983975,1,Tumor
SRR7667000,PT081_P5_A06_S102,PT081,-15.236832,-14.910499,4,Tumor
SRR7667042,PT081_P5_E05_S149,PT081,-15.41341,-15.337018,4,Tumor
SRR7667071,PT081_P5_H05_S185,PT081,-15.6668005,-6.331263,4,Tumor
SRR7667025,PT081_P5_C08_S128,PT081,-16.446447,-17.353954,4,Tumor
SRR7667022,PT081_P5_C05_S125,PT081,-16.97367,-11.764456,4,Tumor
SRR7667011,PT081_P5_B05_S113,PT081,-14.107576,-14.231775,4,Tumor
SRR7666965,PT081_P3_D05_S233,PT081,-13.933343,-11.245958,4,Tumor
SRR7666925,PT081_P1_G11,PT081,-16.331202,-6.299164,4,Tumor
SRR7667171,PT084_P1_E02,PT084,-3.6089094,-1.5924196,4,Tumor
SRR7667052,PT081_P5_F06_S162,PT081,-15.2173395,-4.9552693,4,Tumor
SRR7667034,PT081_P5_D09_S141,PT081,-15.182714,-17.908318,4,Tumor
SRR7667401,PT039_P121_E02_S338,PT039,11.806424,-5.6792593,1,Tumor
SRR7667356,PT039_P121_A03_S291,PT039,-12.816238,-1.225416,3,Tumor
SRR7667376,PT039_P121_B11_S311,PT039,10.262916,-6.8176312,1,Tumor
SRR7666389,PT089_P1_D09,PT089,-9.749327,-8.466564,4,Tumor
SRR7667428,PT084_P121_G05_S365,PT084,0.665806,-2.9563518,6,Tumor
